u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u"I have been selling these guys my old CDs and DVDs... you don't get much back but it is better than nothing."	'Take their time estimates with a grain of salt. Good prices though.\n'
u"It's usually something I prefer to make at home because it's not often I like it out."	'Get the sweet and spicy ribs!\n'
u'It was good.'	'Snacking before baking\n'
u'These were not good at all.'	'Digging the barely tea.. & kimchi fried rice...\n'
u"Never have tried any other desserts that they offer, but I can tell you their Honey Toast doesn't disappoint.This place has really stepped up their customer service."	'Very hip, k-pop joint with yummy food selections.\n'
u'There was also a small amount of diced green onion and grated daikon, no garlic.'	'Blood sausage!\n'
u'Wonderful food.'	'Make sure they read your order back to you. We got dishes we didnt order and the dishes we did order did not come until well after we noticed the mistake. Food was still delicious and great service still. The manager was very helpful and super nice.\n'
u"I also liked that they didn't just have lettuce but they also had spinach.."	'Just a couple Korean people craving some Korean food mmmmmnomnom\n'
u"I also liked that they didn't just have lettuce but they also had spinach.."	'Late dinner with my boo~\n'
u"I also liked that they didn't just have lettuce but they also had spinach.."	'Late night munchies with jojo ~ potato casserole !!!\n'
u"I also liked that they didn't just have lettuce but they also had spinach.."	"Omgoodness! It's a full house!!!\n"
u"I also liked that they didn't just have lettuce but they also had spinach.."	'Picking up some Galbi tang for daddddd~\n'
u"I also liked that they didn't just have lettuce but they also had spinach.."	'Seafood casserole !!!! The patio is now open for outdoor seating ~\n'
u"I also liked that they didn't just have lettuce but they also had spinach.."	'So much food, dranks and friends hahahaa fun fun fun\n'
u"I've been coming here since November 2010 :)) When I first came here it was 6am on Thanksgiving day..."	'Closed at 3am Saturday not 4am :(\n'
u'I would recommend it if you are in the area.Plenty of parking.'	'Have not been here in probably a year. Place updated. Enclosed patio. New sign. Korean pop music too loud. Korean Bieber.\n'
u"Our first Ike'a experience was amazing!"	'Oh these cupcakes. Be still my soul. So yummy.\n'
u'All really good.'	'1st time here u get a free cake bite. It will hook you. :)\n'
u"Although if you want to see a win, you may want to find another team to support... On a side note, the DNC Convention was really well run and was pretty cool event here, so if you've got something like that to go to here, they put on a good show.As a lot of other reviewers have pointed out, in relation to other huge parks in Orlando and Cedar Point in Ohio, Carowinds is a bit weak, but if you live within driving distance of Charlotte, then it's an awesome option for a fun summer day trip."	'The Red Velvet was moist and the icing was a perfect compliment. The chocolate chip was a good cake, but little too much icing for me...\n'
u'Best thing about this place outside of that customer service and yummy food was the abundance of outlet plugs and booths for everyone to enjoy the free Wi-Fi!!!'	'$2 Tuesday!!!\n'
u'Best thing about this place outside of that customer service and yummy food was the abundance of outlet plugs and booths for everyone to enjoy the free Wi-Fi!!!'	'Red Velvet cupcakes are delicious!!!\n'
u'Best thing about this place outside of that customer service and yummy food was the abundance of outlet plugs and booths for everyone to enjoy the free Wi-Fi!!!'	'They change flavors daily!!! Awesome!\n'
u'Yum!May 2013 flavors had original, banana, cookies & cream, watermelon, cake, peanut butter, and others.'	"Loved the triple chocolate ganache! $2 Tuesday's is great!\n"
u"Oh man, I'm sorry I made this bad calorific decision because it will be so hard not to order either one of those again!"	'Udon noodles\n'
u'I had a great steak, baked potato, salad.'	'Good place for teriaki chicken and California rolls, fast service, pleasant environment.\n'
u"I wouldn't come here all the time because it is a pretty heavy and expensive dessert, but if I want to treat myself out to something special this is the place I'd go to."	'Try the waffle cone!! Free with a double scoop purchase!\n'
u'One things that was weird is that they do not have kids meals, lame!!'	'Jumbo jack looks sooooo yummy! Alas there a lil too much pepper on mine : (\n'
u'One things that was weird is that they do not have kids meals, lame!!'	'Original ice coffee is seriously the best! Soo rich and yummy!\n'
u"Since I was already sitting at the table I just again said, hell with it I'm going to just stick around and try my luck."	'Late night snack\n'
u"Since I was already sitting at the table I just again said, hell with it I'm going to just stick around and try my luck."	'Lunch\n'
u'Really quiet in spite of many passing by airplanes.'	'Convenient! You can bring guests with extra charge.\n'
u"Best of all it's a block away from my house and they are open late.This restaurant is superb!"	'Red bean ice cream is amazing!\n'
u'I love their Ube Overload cake, I got it for my birthday and it was so delicious!'	'It says on Yelp they open at 11:30 am. They actually open at 12:00 pm Monday through Sunday.\n'
u"The cupcake was not a tres leches cupcake and I'm not sure if he heard the lady incorrectly or what but it was more of a coffee icing with a very dry chocolate cake on the bottom."	'They are out of a lot of flavors like lychee, red bean, green tea etc. supposed to have all flavors by tomorrow night.\n'
u'Everything is made to order so your food is hot and fresh.'	"The taro slush was made with powder and ice so it was really watered down. Think I'll just stick with their ice cream from now on.\n"
u'That one is just as tasty!'	'Banana,taro,and green tea...;9\n'
u'I ordered the large tapioca milk tea and they give a lot of boba in your drink for its worth!'	'Spicy chocolate ice cream?? It is actually spicy!! Burning spicy ice cream... So unique\n'
u'I ordered the blue velvet cookie, between my boys there was an order of the strawberry dole whip (almost like a soft serve expect this is dairy/lactose free)...that is a huge plus to offer because a couple of my kids have a dairy allergy, a scoop of vanilla ice cream, and a churro cookie--yeah a churro cookie!'	'Okinawa Milk tea with the sea salt. Must try!\n'
u"Now, while I was hoping this would be a very close replica to what is Ted's in WNY, it is not and I am pleased with the differences."	'Good beer and darts!\n'
u'They are open the same hours as the store The service there is decent.'	'Free Wifi! Ask for the password\n'
u'Wish we had let it breathe a bit more to really open up.'	'Late afternoon on the weekday is quiet. No waiting for a table and quick service.\n'
u'This is a not to be missed stop when you are in Montreal.'	'Looks like the restaurant has closed to bad great dumplings.\n'
u"Also they don't take debit so if you don't carry cash like I do hope you have credit card if not you have to use the private ATM they have and all the extra fees that comes with it."	'Dont get fooled by the look because the food is amazing\n'
u"Also they don't take debit so if you don't carry cash like I do hope you have credit card if not you have to use the private ATM they have and all the extra fees that comes with it."	'Still same good taste just moved to a bigger place next door\n'
u"Also they don't take debit so if you don't carry cash like I do hope you have credit card if not you have to use the private ATM they have and all the extra fees that comes with it."	'They have moved to 1082 so right next door\n'
u'Landon is an awesome bartender.'	'Cook it yourself pre seasoned tastes good and is a unique dinning experience\n'
u'Landon is an awesome bartender.'	'Cook it yourself pre seasoned tastes good and is a unique dinning experience\n'
u"I spotted a sign indicating they serve 'FRESH' fried oysters and knowing me, I've been trying to find a new place that serves them."	'Very cramped space. Their bubble tea is okay but tasted like strange powder mix\n'
u'Beware!'	'The sales promise so much for my satisfaction but now I regret the time and money I have invested to this system .\n'
u'But great drinks.'	"It's raging.\n"
u"This was pretty good, none of us have had it before so we weren't sure what to expect, but it's literally the green curry flavoring cooked into their fried rice."	'AYCE sushi includes AYCE dessert as well. Last place that lets you!\n'
u'If you come between the hours of 11am - 2pm get a free tea.The best mobile restaurant in town.'	'Get all you can eat !!\n'
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	'AYCE desserts :)\n'
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	'Make sure you bring your Sushi Mon stamp card. You can use the card at both Sushi Mon and Sushi House Goyemon to earn a free meal.\n'
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	'Pretty busy most nights. Be prepared to wait. Totally worth it though.\n'
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	"The black sesame and green tea creme br\xc3\xbbl\xc3\xa9e are ridiculously delicious. Order, even if you're stuffed from dinner.\n"
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	"They never have yellowtail or salmon collar. Waiter said they're probably taking it off the menu.\n"
u'Ok I went in for lunch.'	'Stay away from Orgasm salad. But everything else is great.\n'
u'i would say all of the desserts were well made and delicious.'	'Pomegranate cocktail with lime and tequila was so refreshing and not too sweet. Delicious!\n'
u'Each drink has a theme, and the server will introduce it and present it to you before you enjoy the art!'	"Get the Shrimp Bucket if you're a sucker for spiciness!\n"
u"She made a quick- I don't care, kind of work."	'Adoro el lugar\n'
u'I am a huge fan of chai latte and I was hoping to try that.'	'If you like Brazilian cheesy bread, you will like the chicken & waffles entree. It comes with cheesy jalape\xc3\xb1o waffles; unbelievably good!!!\n'
u'One of the menu I have to give them thumbs up is "oxtail soup" that is special and it\'s not easy to find anywhere (oxtail is expensive as far as I know).'	'I ordered extra tomatos for my smocked salmon, they charged $2.00 for extra one sliced tomato.. :(\n'
u'One of the menu I have to give them thumbs up is "oxtail soup" that is special and it\'s not easy to find anywhere (oxtail is expensive as far as I know).'	'Serve only breakfast & Lunches.long line for a breakfast. Always busy here.\n'
u'Everything was delicious and very fresh.'	'They open May 11th at 4:00pm.\n'
u"This is the latest Merry Ann's in the area out of three locations."	'What? They charge for water you bring into the karaoke room?\n'
u'The real.prize of this place is THE FOOD!!!!'	'GREAT HAPPY prices on coctktails and shots. Try the ALMOND TEQUILA shots\n'
u'The real.prize of this place is THE FOOD!!!!'	'Happy Hour 11AM to 6PM DAILY!\n'
u"The food was so-so yes it's very salty as other reviewer said my husband thought the Porkchop was just OK although it looked very good but tasted just OK."	'It was okay but looks better then it tasted\n'
u'Just had tacos and rice with the chips and only cost 12 bucks with soda.'	'When referring to the fruit, it\'s "chile". "Chili" is the meat sauce made with hot chile peppers. Get it? Good.\n'
u"It's our favorite place to visit every time we're in Montreal.We had a late seating, it's hard to get a reservation."	'casual friendly service with bar stool seating\n'
u'The Roast beef Thursday specials and the Breakfast!!!'	'So far the tastiest place for fried Chicken southern lemonade and home made sweet potato pie\n'
u'Has the crepes upstairs.'	'Try the poutine next time. Ham & cheese and grilled are also wonderful. Everything is very fresh and prepared on the spot\n'
u"I did a double-take when I went into Bicerin because it's still kind of T.A.N."	'The soap in the bathroom smells nice!\n'
u"It's so small, it's just amazing how much magic is in here."	'Funky diner with a liquor license! Tiny though..\n'
u"It's so small, it's just amazing how much magic is in here."	'Le Gros Jambon dog with spicy homemade mayo comes with fries and is awesome.\n'
u'Try it out, it\'s rather yummy!I had avoided this place for a bit because I didn\'t want to be standing there in line going "Uh...Ummm...Uhh..." and not be able to decide on what I wanted.'	'Lunch crowd is ok\n'
u"There's a reason so many people love it.Delicious."	'Baby sandwich=nug, big sandwich=blunt...way to be discreet. Lol\n'
u"Also, the majority of tables have a grill in the center so you have the option of grilling your own meat if you'd like."	"Can't get enough of this place!\n"
u"Also, the majority of tables have a grill in the center so you have the option of grilling your own meat if you'd like."	'Glad I called my order in today. When I got there the line was out the door! But my delicious subs were there waiting for me when I finally reached the register. Just as I had planned...\n'
u"Also, the majority of tables have a grill in the center so you have the option of grilling your own meat if you'd like."	'Majic mushroom on wheat add honey mustard. Enough said.\n'
u'As a woman, I am often either ignored in bike shops or steered towards a 250.'	'Best sandwiches in town\n'
u'The service was great, the food was prepared well.'	"Does the bread cut anyone else's mouth up?\n"
u'The service was great, the food was prepared well.'	"Get the 5-0 pinner with chips and koolaid..... You're welcome\n"
u'Very good soup they give you when you get seated.. really great michaladas and guac this place is great'	'Soooo amazing , loved it , great bread and so fresh amazing\n'
u'Replaced wheels on 2 sliders and did good job.'	'Solid place to get your food. Really good toasted sandwiches. Good atmosphere too.\n'
u"I spoke with CJ who said he could schedule me for an orientation at a different time if I was interested (since he was with a client) but if I wasn't looking to purchase personal training I could just check in with a trainer at any time to have a body fat percentage check and they would help me out."	'Hold up. Ima let you finish, but Cheba Hut is the greatest of all time\n'
u"So that might be a reason why service was good but again it's a new business so it's going to happen."	'The kind and jalape\xc3\xb1o chips. Done deal.\n'
u'Good selection of beer & wines and good hard working staff.'	'Really good Korean BBQ. Japchae, Bibimbap & BBQ Pork Belly, Short Ribs & Rib Eye is excellent.\n'
u'The chicken & the tri-tip are excellent.'	'Come on Monday for all you can eat pasta!\n'
u'But all of it was simply mediocre.'	'Bring back Chef Geno! Or at least someone similar. Very let down from what it once was.\n'
u'As I waited in the lobby for the class to start, it felt that I was more in an office environment rather than in a studio so I was disappointed.'	'Sunday feast at High society....\n'
u'As I waited in the lobby for the class to start, it felt that I was more in an office environment rather than in a studio so I was disappointed.'	'White clam linguine, baby octopus, belvedere and soda :)\n'
u"It was my first time and I must say it won't be my last."	'Try the octopus\n'
u'Definitely coming back for more!This is a great place to eat..'	'If there is a bagel there! You better try it! They are amazing!!!\n'
u"Before you know it, it's late and you haven't had some food."	'Rocks to rest chopsticks on is always appreciated!\n'
u'Maybe they are supposed to have a sampling station, but the employees decided it is too much work...'	'Be prepared for a long wait. Parked the car and it took more than 30 min for the shuttle to arrive!!\n'
u'$30 for 6.Eclairs!'	'Terminal 3 Pick Up Shuttle pole 41 and 7 Terminal 1 Pick up A1 and E3\n'
u'Lovely place I suggest you go check it out if your nearby and want a coffee'	'Great place anytime of day\n'
u'The Lost Leaf is hands down, one of the best places to come on an evening when you want to chat it up with friends in a place with great atmosphere and a variety of wine and (non-draft) brews to choose from.'	'Get the Guacamole or else.\n'
u'The Lost Leaf is hands down, one of the best places to come on an evening when you want to chat it up with friends in a place with great atmosphere and a variety of wine and (non-draft) brews to choose from.'	'Guacamole is a must do!\n'
u'The Lost Leaf is hands down, one of the best places to come on an evening when you want to chat it up with friends in a place with great atmosphere and a variety of wine and (non-draft) brews to choose from.'	'Pico Rico burger... do it!\n'
u'And it was.'	'Get the Elote and pair it with my favorite cocktail, the El Julio.\n'
u'And it was.'	'The El Julio is my new favorite cocktail!\n'
u"Happy yelping your fellow yelpie xoxoIf I'm in the mood for getting Korean bulgogi this is the place I go and they do have other Asian food besides Korean also they have a little pastry section yummy pastries it's a pretty big market so if you're looking for any type of Asian stuff you might want to check this place outIf I'm in the mood for getting Korean bulgogi this is the place I go and they do have other Asian food besides Korean also they have a little pastry section yummy pastries it's a pretty big market so if you're looking for any type of Asian stuff you might want to check this place outIf I'm in the mood for getting Korean bulgogi this is the place I go and they do have other Asian food besides Korean also they have a little pastry section yummy pastries it's a pretty big market so if you're looking for any type of Asian stuff you might want to check this place outIf I'm in the mood for getting Korean bulgogi this is the place I go and they do have other Asian food besides Korean also they have a little pastry section yummy pastries it's a pretty big market so if you're looking for any type of Asian stuff you might want to check this place outI love the turkey croissant sandwiches."	'Free battery check\n'
u"They have a regular hot spot in China town so if you are down there around 8:30 swing by and treat yourself to one of the best burgers you will ever have as well as be entertain by all the custom cars and stereos that are on display; The Food is amazing and I have no idea how they make their burgers so light and full of flavor; the fries are good but the gravy/sauce they put on them is a little weird but growing on me now that I've had it a few times."	'Staff is knowledgeable and will even come out to look if you cant specifically tell them what is wrong. Thanks for being there!\n'
u'I have hope now that I will not have to look like George Washington LOL if you have a dental issue go get a second opinion from Dr. Edwards'	'Dr Julie Zacharias-Simpson Rocks!!!!\n'
u'They even layer it so that ALL the chips have cheese.'	'Dr. David Park is great for diabetes.\n'
u'They even layer it so that ALL the chips have cheese.'	'Excellent Dr! I recommended Dr. Park. If u have diabetes he is the man to see.\n'
u'I found Lylah and Michael and their dear nubian milk maids (i.e. the cutest, happiest, goats I ever saw) through Instagram, and when I finally decided my instastalking approached a new level of crazy, I attended a pie crust workshop cohosted by Rachel of Pistol Whipped (who happens to be a pastry guru/charmer/genius).'	'The patio is pup friendly! They even have water bowls so bring your furry friends for your rendezvous!\n'
u'I found Lylah and Michael and their dear nubian milk maids (i.e. the cutest, happiest, goats I ever saw) through Instagram, and when I finally decided my instastalking approached a new level of crazy, I attended a pie crust workshop cohosted by Rachel of Pistol Whipped (who happens to be a pastry guru/charmer/genius).'	'Thursday nights = $20/bottle #edieapproved\n'
u'And of course, they have BEER.'	'Wine club!\n'
u'Today was our third visit since the new place opened.'	'Brunch looks great!\n'
u'The quesadillas were good, not great; they were about what you would expect for a bar of this nature.'	'There can be a bit of a wait on Saturday mornings. Be prepared to stay a while.\n'
u"Masala dosa is stuffed wih mash potatoes (Indian style)I would appreciate these guys for doing a Unlimited Dosa night - it's a bold move ."	'Love it\n'
u"It wasn't bad, it just wasn't good."	'A late night diner open next to the nicest strip club in town, what else do you need in life.\n'
u"It wasn't bad, it just wasn't good."	'One of the better choices in Charlotte for late night food.\n'
u'We were rofl the entire time!!'	'Excellent food!!! Their curries are to die for!\n'
u'The pies and her staff are just as awesome as when it was just the food truck.'	"They're on summer hours from May through early October (5pm-2am Tues-Sun). Come October, brunch hours will be back when it's cooler outside\n"
u'the.'	'Sooooo good!! Super friendly staff and Erin (Kap) was great!!! Go niners!!! A+++\n'
u'the.'	"Try the white pizza... it's divine!\n"
u"It's weird.."	'45-min wait for a pizza pie so remember to call ahead\n'
u"It's weird.."	'call ahead and order for pick up\n'
u"If you have not tried NY's pizza you'll say that this is the best pizza but this pizza is still good."	"it's a secret.... :)\n"
u'PIZZA!'	'$5 slice of mushroom pizza for me.\n'
u"It's weird.."	'Great sobering up food!\n'
u'Good deals on drinks... and food.'	'Still bring both our dogs here.\n'
u"I've been to many of Eva's parties, and she has always had a knack for design and party hosting, with great food and drinks, cute decorations and awesome music, and that's exactly how she runs Dirty Blonde Tavern."	"1st Pet was very kind in regards to helping with my best boy doggy Clopi's last minutes. RIP Clopi ~ Mommy loves you forever...\n"
u'was delicious.'	'came for this fish taco... it did not dissapoint :)\n'
u"I came for a glucose test to see how the insulin was working, but that of course turned into 300 dollars, these people are out of their minds, I was so mad of being charged 300 dollars for something that I was told last time when they told me to come back in two weeks that it would only be 25 bucks... what do you know, when I came back with my cat after seeing he couldn't walk and they told me to come back immediately, I waited, and waited and waited for the veterinaran to check on my cat!!!"	'Completely Re-Done inside\n'
u"I came for a glucose test to see how the insulin was working, but that of course turned into 300 dollars, these people are out of their minds, I was so mad of being charged 300 dollars for something that I was told last time when they told me to come back in two weeks that it would only be 25 bucks... what do you know, when I came back with my cat after seeing he couldn't walk and they told me to come back immediately, I waited, and waited and waited for the veterinaran to check on my cat!!!"	"No longer free chips and salsa ... won't be coming here again!\n"
u'But, it is the one that is closest to my house.'	'Check website for print able coupons. Thus usually have BOGO offers .... Today, we are using $1 off the salted caramel shake.\n'
u'We paid $25 and the orders were made and taken to go.'	'Some of the best pizza around\n'
u'Great staff!The crew here is the best...The hawaiian guy in the front makes you not even think about stealing.'	'ATM deposit on a Sunday! Love it!\n'
u'Great staff!The crew here is the best...The hawaiian guy in the front makes you not even think about stealing.'	'Broke like a joke haha\n'
u'Great staff!The crew here is the best...The hawaiian guy in the front makes you not even think about stealing.'	'Deposit\n'
u'Great staff!The crew here is the best...The hawaiian guy in the front makes you not even think about stealing.'	'I love cash deposits using an ATM\n'
u'Great staff!The crew here is the best...The hawaiian guy in the front makes you not even think about stealing.'	'Now known as chase\n'
u'Great beer selection but I was shocked when my pint of beer was $7.00.'	"Agh. It's ok. Expensive. Fresh and great sauces. But not all that impressed.\n"
u"The one thing I would change is having to pay for the second batch of chips and dip, but I guess I can't always get what I want ;)The poor Jetta had finally given all she could, and it was time for a new (used) car."	'Great prices and tasty coffee!\n'
u'It is hard on your feet and knees on the way down.'	'Absolutely gorgeous flowers, roses have lasted more than a week and counting. Tulips are opening & lovely :)\n'
u'We love Mucho taco!!'	'Get the quesadilla sampler for sure!!\n'
u'I have been a customer for almost 20 years, it is good dough and sauce, calzones, spaghetti, and a nice salad bar too.'	'Awesome soup with lunch specials.\n'
u'I have been a customer for almost 20 years, it is good dough and sauce, calzones, spaghetti, and a nice salad bar too.'	'Great lunch specials\n'
u'Of.'	"Try the Hummus Con Carne (Hummus and delicious warm Shawarma) you won't regret it!\n"
u'This was so amazingly perfect!'	'Close early on Fridays\n'
u"It seemed like a big deal so I didn't push to get it but I was just trying to get some variety and help generate some revenue for a new female owned business."	'Getting service on the weekend here sucks. Seems like everyone is too busy to help you.\n'
u"I'll almost always come back to this location (unless they're out of the Makeup Forever's Duomat in 202) which is about 50% of the time."	'Best prices for Blu-rays!\n'
u'Food was perfectly fine though and I would go there again.Standard Sonic.'	'fucking terrible service\n'
u"Or you get what they have.I haven't been here in a long time...I think this is now my favorite burger place!"	'If you just come to look you will buy something.\n'
u"Or you get what they have.I haven't been here in a long time...I think this is now my favorite burger place!"	'Stay focused.\n'
u"But the truth here is that I ended up walking out with nothing as I just don't like the quality and the selection of products Tesco has chosen to stock their stores with."	'If you like the feeling of being a sucker because you know you overpaid for something just shop here!\n'
u"But the truth here is that I ended up walking out with nothing as I just don't like the quality and the selection of products Tesco has chosen to stock their stores with."	'This store desperately needs to restock merchandise!\n'
u'In a world of online shopping, Best Buy is going to have to step it up or close the doors!Wow!'	'Price match guarantee is awesome!! Spent $4500 on a tv 2 weeks ago here, watched pricing over Black Friday and found amazon dropped the price by $500. Frys just refunded me 110%!! Super easy!!\n'
u'Highly recommend buying coffee beans here!'	"I've never had a bad experience! Always awesome food and great takeout!\n"
u'The staff is always friendly and the restaurant has a great atmosphere.'	'Great for sushi and sashimi\n'
u'The staff is always friendly and the restaurant has a great atmosphere.'	'Great sushi, friendly staff, and great drinks. I highly recommend Feng.\n'
u'Great drinks at El Campesino, food is good, sometimes great, sometimes OK. Service is fast and efficient.Great drinks at El Campesino, food is good, sometimes great, sometimes OK. Service is fast and efficient.'	'Please note you can ask for breaded chicken in place of grilled in you desire. Make the buffalo chicken sandwich much better.\n'
u'I like especially the meal deal for my weekday lunches - for a fiver you get: - A sandwich or hot dog or a soup, - Hot drink (tip: you can have it take away if you like, just ask for it), - Fruit or crisps.'	'Two breakfasts for \xc2\xa39!!! (One traditional for \xc2\xa39, veggie for \xc2\xa37)\n'
u"It's a cool place, really trendy and good to come if it's your first time in the city and looking for somewhere to go and people-watch."	'The White wine is lovely and cold\n'
u'It was a quiet Friday night and i decided a curry would be nice.'	'Breakfast :)\n'
u"If you haven't already, check this place out while you're out there shopping.As a native Clevelander this Cleveland landmark is a harbor for so many great memories for me, as I'm sure it is for many."	'Free parking at the bookstore (30 mins) along with electric car charging stations.\n'
u'they have great pizza and the winds are great!!'	'Home sweet home\n'
u'they have great pizza and the winds are great!!'	"There is now an ol' crotchety pool nazi lady that gets all up in your business when your at the poo!!! Beware! She wil stalk you!\n"
u'The pizza was ok too, but it was NOT worth waiting 45 minutes for...nor was the whole meal worth $50.00+ for one 12" pizza, one salad and one iced tea!Hmmm....not too sure about this place.'	'Always packed!\n'
u'The pizza was ok too, but it was NOT worth waiting 45 minutes for...nor was the whole meal worth $50.00+ for one 12" pizza, one salad and one iced tea!Hmmm....not too sure about this place.'	'I enjoy this place more and more each time I visit\n'
u'This place is so clean, weights and everything is put back in the right place.'	'Mac and cheese with jalape\xc3\xb1o :D\n'
u'This place is so clean, weights and everything is put back in the right place.'	'The vegan chocolate chip cookie\n'
u'I still have more to explore here.'	'I like the variable ambiance here. You can study or hang out. Or study then hang out.\n'
u'I still have more to explore here.'	'Soy vanilla latte hot with a lavender shortbread cookie\n'
u'I still have more to explore here.'	'Try anything here once...so many options. The bacon, egg, tomato with the English muffin is a great breakfast item!\n'
u'It is so.much.fun.'	'Huge portions of French fries for $1.50 please. Amazing!\n'
u"I am very particular about my cakes as I am a perfectionist when it comes to taste...it's crazy to have a great looking cake that taste like crap(one of my pet peeves)....so after pretty much interrogating my friend that referred me to 'The Art of Baking', I was assured I would be pleased but that wasn't enough for me I needed a sample........a taste....something, so I was able to taste one of their cupcakes at a function and was a little relieved as it tasted pretty darn good so I was cautiously optimistic."	'Finally open at the new location!\n'
u"I am very particular about my cakes as I am a perfectionist when it comes to taste...it's crazy to have a great looking cake that taste like crap(one of my pet peeves)....so after pretty much interrogating my friend that referred me to 'The Art of Baking', I was assured I would be pleased but that wasn't enough for me I needed a sample........a taste....something, so I was able to taste one of their cupcakes at a function and was a little relieved as it tasted pretty darn good so I was cautiously optimistic."	'Smells good in here!\n'
u"I am very particular about my cakes as I am a perfectionist when it comes to taste...it's crazy to have a great looking cake that taste like crap(one of my pet peeves)....so after pretty much interrogating my friend that referred me to 'The Art of Baking', I was assured I would be pleased but that wasn't enough for me I needed a sample........a taste....something, so I was able to taste one of their cupcakes at a function and was a little relieved as it tasted pretty darn good so I was cautiously optimistic."	'The correct number is 980-207-0479\n'
u'This is the kind of place that if I lived closer to it...I would be like Norm form Cheers...they would all know my name.After moving from Atlanta I had not found a spray tan location that I was happy with (never found one in Austin and had tried another place here in Charlotte with ok results).'	'2-17-11 Currently closed but relocating. Call before you go to confirm new address.\n'
u'This is the kind of place that if I lived closer to it...I would be like Norm form Cheers...they would all know my name.After moving from Atlanta I had not found a spray tan location that I was happy with (never found one in Austin and had tried another place here in Charlotte with ok results).'	'Now open in their new location!\n'
u'And oh my is it tasty.'	'Open Tues-Sat, 11am-9pm\n'
u"Be warned that this is an older place and there are little details here and there that aren't perfect (I noticed some cracks in the floor molding, a window pane has some peeling paint, etc) but overall the beautiful materials on the exterior (NC rock, boulders, lush gardens) and inside (ornate furniture, fireplaces, slate floor in the large back room) make it a one of a kind place for your guests to enjoy.I've always had a great experience here at Long."	'Crab cake is all crab barely anything else. Amazing!!!\n'
u'The food court is standard junk food and faux ethnic cuisine but the restaurants around the mall are good in variety and price, but they get packed so arrive early for a meal or be ready to wait.Aside from the parking lot that is kinda a pain until you are familiar, this is a nice mall.'	"Next to the Urgent Care. The sign says 'Ooey Gooey' but there should be a Crab Shack banner over the sign.\n"
u'Have I mentioned that I love Chipotle?'	'To go only. Expanding next door to offer seating though.\n'
u'Had the Moscato with lunch and it was great.'	'OMG! A taste of home. DMV IN THE BLDG!!!\n'
u'Each animal has their own section and there are rooms where they will put in in with the pet and play with them.'	'Awesome possum workers!\n'
u'As far as Sushi goes, this is probably one of my favorite places.'	'Stays open late. The clerks are insanely helpful.\n'
u'My favorite are the thumb prints and the cannoli are amazing... Go in check this place out I will forever love The Wee Bakery...This is by far my favorite place... this bakery has been around for 18yrs... A lot has changed with this bakery...'	'Always thought the "line" was a little to free frawl... never fails excited person is a line cutter... is what it is.. I just love my wooden tokens for bags love books movies and odds and ends you will forever have\n'
u"The screen lets you know when you're there and motivates you to push harder when you're below orange."	'Beautiful array of salt lamps\n'
u"The screen lets you know when you're there and motivates you to push harder when you're below orange."	"Turn off your cell phone before entering the salt cave. Don't whisper with your friend in the chair next to you. And if you're listening to your headphones, it doesn't mean you get out the volume at full blast! Common sense people.\n"
u"Also take the time to walk the grounds if you're here during the day and you'll see all sorts of animals such as ducks, peacocks and roosters who are all lucky enough to call this place home."	'Check in on Yelp & receive $10 off of your first visit!\n'
u"Also take the time to walk the grounds if you're here during the day and you'll see all sorts of animals such as ducks, peacocks and roosters who are all lucky enough to call this place home."	"Try it! You'll love it! There's so many benefits to this!\n"
u'As I walked in I noticed that they now have a kiosk which allows you to pay your bill.'	"Whatever you do, don't wear dark colors as you will pick up lots of salt on your clothes and have to brush yourself off for quite a while!\n"
u'What a gem of a restaurant and bar this place is in such an unassuming perch along the Golden Mile that is 286.'	"Get the queso - it's a no brainer!\n"
u'What a gem of a restaurant and bar this place is in such an unassuming perch along the Golden Mile that is 286.'	"Get the queso...it's a no brainer.\n"
u'Well, I cannot give my opinion on any other of the food items here because I only had that awesome pecan tart.'	'Located in the same plaza as Art of Flavors!\n'
u'Todo delicioso, y el servicio: excelente.'	"It's a stand!!\n"
u"But so do lots of others, so darn disappointed that it's so popular I have to wait in line."	"Couldn't get vegan tonight:-( owner not in & workers didn't understand what I was asking for.\n"
u"But so do lots of others, so darn disappointed that it's so popular I have to wait in line."	'Vegans call ahead\n'
u"I have never had a problem redeeming a coupon here.I didn't have much time to look around the park, but from what I had a chance to see, it was really nice."	'My first time trying arepas... It was good! I have to try more Venezuelan food.\n'
u"I'm a stickler for texture in gelato or ice cream and I thought Art of Flavors has some of the more creamier gelato you'll find in Vegas."	'Ask to sample juice flavors\n'
u'The service is great.'	'Great hours! Open until 9 pm on weekdays and 6 pm on weekends.\n'
